nct_id,result_group_id,classification,category,title,number,total_count,dispersion_type,dispersion_value
NCT03167619,75325744,,,"Age, Continuous",51,45,Standard Deviation,11.8
NCT02000622,75157065,Age (years),,"Age, Continuous",44,302,Full Range,
NCT01945775,75359634,,,"Age, Continuous",48.1,431,Standard Deviation,11.80
NCT01116648,75082366,,,"Age, Continuous",57.7,155,Full Range,
NCT03330847,75364702,,,"Age, Continuous",53.6,273,Standard Deviation,11.21
NCT02282020,75401510,,,"Age, Continuous",59.2,266,Standard Deviation,9.5
NCT01306032,75112158,,,"Age, Continuous",57,124,Standard Deviation,11
NCT02163694,75539873,,,"Age, Continuous",46.8,509,Standard Deviation,10.75
NCT02032823,75317228,,,"Age, Continuous",43.3,1836,Standard Deviation,10.0
